Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,610393563,7831.039867478605,3077205,39.47897962253656,468763,6508521,83.50102379654636,9560,0.12264995188537961,1244,
United States of America,Americas,94471064,28540.878,374920,113.268,57676,1042812,315.046,2494,0.753,230
India,South-East Asia,44547599,3228.077,37542,2.72,4510,528403,38.29,187,0.014,33
Brazil,Americas,34592027,16274.051,58070,27.319,4980,685428,322.464,530,0.249,52
France,Europe,33938648,52181.707,206133,316.936,51816,151236,232.53,207,0.318,48
Germany,Europe,32797308,39435.62,220321,264.915,40190,149169,179.361,44,0.053,2
Republic of Korea,Western Pacific,24502968,47792.778,309969,604.591,41286,27950,54.516,357,0.696,59
The United Kingdom,Europe,23585309,34742.521,6920,10.194,0,189484,279.121,0,0,0
Italy,Europe,22197658,37218.485,120057,201.298,28385,176669,296.218,334,0.56,60
Japan,Western Pacific,20799307,16445.2,498920,394.477,58510,43951,34.75,966,0.764,124
Russian Federation,Europe,20588102,14107.773,379224,259.859,53045,386341,264.736,713,0.489,107
Türkiye,Europe,16852382,19981.703,0,0,0,101068,119.835,0,0,0
Spain,Europe,13393196,28295.915,19080,40.31,8320,113845,240.521,566,1.196,120
Viet Nam,Western Pacific,11463404,11776.835,18477,18.982,3177,43142,44.322,10,0.01,1
Australia,Western Pacific,10184443,39939.174,53742,210.754,6723,14825,58.138,404,1.584,53
Argentina,Americas,9703938,21470.897,6175,13.663,0,129855,287.317,25,0.055,0
Netherlands,Europe,8410076,48312.71,8820,50.668,1681,22630,130.001,10,0.057,3
Iran (Islamic Republic of),Eastern Mediterranean,7544540,8982.349,4224,5.029,992,144344,171.853,123,0.146,25
China,Western Pacific,7230178,491.419,304025,20.664,46380,25744,1.75,363,0.025,32
Mexico,Americas,7070902,5484.178,3763,2.919,1359,329899,255.869,13,0.01,3
Indonesia,South-East Asia,6415328,2345.438,15293,5.591,2384,157948,57.746,120,0.044,18
Colombia,Americas,6305562,12392.303,1245,2.447,0,141746,278.573,38,0.075,0
Poland,Europe,6258678,16488.369,31419,82.773,5637,117391,309.264,93,0.245,25
Portugal,Europe,5461888,53049.109,14008,136.054,0,24966,242.485,32,0.311,0
Ukraine,Europe,5096397,11653.233,0,0,0,108955,249.132,0,0,0
Austria,Europe,5033797,56552.756,37054,416.287,5937,20683,232.365,12,0.135,1
Greece,Europe,4875215,45483.84,36146,337.228,0,33010,307.97,111,1.036,0
Malaysia,Western Pacific,4821864,14897.93,12968,40.067,1667,36324,112.229,33,0.102,7
Thailand,South-East Asia,4675532,6698.472,5348,7.662,1129,32668,46.802,90,0.129,13
Israel,Europe,4653584,53764.219,7811,90.243,1171,11681,134.954,6,0.069,0
Chile,Americas,4588533,24003.373,20038,104.822,2983,60950,318.84,128,0.67,27
Belgium,Europe,4517212,39203.606,7329,63.606,0,32636,283.239,16,0.139,0
Canada,Americas,4216141,11170.907,18433,48.839,0,44740,118.541,245,0.649,0
Peru,Americas,4132929,12534.718,6467,19.614,242,216350,656.166,199,0.604,41
Czechia,Europe,4081294,38164.553,15390,143.913,3222,40980,383.208,44,0.411,3
Switzerland,Europe,4067629,46999.521,10121,116.943,8,13556,156.633,3,0.035,0
South Africa,Africa,4016157,6771.616,1433,2.416,0,102146,172.228,17,0.029,0
Philippines,Western Pacific,3925326,3582.12,15548,14.189,1600,62620,57.145,238,0.217,33
Denmark,Europe,3288050,56468.896,5213,89.528,0,7006,120.321,23,0.395,0
Romania,Europe,3256352,16847.117,11466,59.321,2303,66937,346.306,63,0.326,16
Sweden,Europe,2578521,24967.308,2047,19.821,0,20100,194.624,2,0.019,0
Iraq,Eastern Mediterranean,2459178,6113.937,669,1.663,0,25352,63.029,4,0.01,0
Serbia,Europe,2338834,33765.463,16985,245.21,2466,16902,244.012,65,0.938,11
Hungary,Europe,2082750,21318.844,12307,125.973,12307,47457,485.766,48,0.491,48
Bangladesh,South-East Asia,2019470,1226.23,3325,2.019,641,29345,17.818,9,0.005,0
Singapore,Western Pacific,1879806,32131.557,15064,257.489,3222,1609,27.503,7,0.12,1
Slovakia,Europe,1840054,33713.756,2008,36.791,419,20439,374.487,18,0.33,0
Georgia,Europe,1762206,44174.698,0,0,0,16900,423.646,0,0,0
New Zealand,Western Pacific,1758138,36459.001,12957,268.693,0,2983,61.859,28,0.581,0
Jordan,Eastern Mediterranean,1745032,17102.902,2776,27.207,0,14116,138.35,2,0.02,0
Ireland,Europe,1660635,33450.601,259,5.217,0,7901,159.152,14,0.282,0
Pakistan,Eastern Mediterranean,1571894,711.611,599,0.271,0,30607,13.856,7,0.003,0
Kazakhstan,Europe,1482749,7896.747,836,4.452,121,19048,101.445,1,0.005,0
Norway,Europe,1461588,27229.925,409,7.62,27,4065,75.732,27,0.503,0
Finland,Europe,1277473,23120.461,94,1.701,0,5858,106.022,0,0,0
Morocco,Eastern Mediterranean,1264807,3426.681,117,0.317,22,16277,44.098,1,0.003,0
Bulgaria,Europe,1253233,18028.285,3527,50.737,618,37688,542.158,30,0.432,6
Lithuania,Europe,1240000,44379.386,9228,330.269,1707,9309,333.168,10,0.358,0
Croatia,Europe,1225365,30195.051,4379,107.906,480,16854,415.311,41,1.01,5
Lebanon,Eastern Mediterranean,1214164,17788.789,1181,17.303,100,10662,156.21,14,0.205,1
Slovenia,Europe,1161178,55403.388,14307,682.631,3430,8217,392.058,7,0.334,0
Tunisia,Eastern Mediterranean,1145345,9691.022,182,1.54,182,29246,247.457,3,0.025,3
Guatemala,Americas,1114991,6223.587,2441,13.625,40,19722,110.083,38,0.212,8
Costa Rica,Americas,1111969,21828.489,6177,121.257,0,8933,175.359,20,0.393,0
Cuba,Americas,1111067,9809.346,140,1.236,22,8530,75.309,0,0,0
Bolivia (Plurinational State of),Americas,1107320,9486.148,1001,8.575,119,22229,190.431,11,0.094,1
United Arab Emirates,Eastern Mediterranean,1023719,10350.631,2930,29.625,370,2342,23.68,0,0,0
Ecuador,Americas,1002057,5679.612,2332,13.218,188,35887,203.406,3,0.017,0
Nepal,South-East Asia,999394,3430.005,348,1.194,39,12016,41.24,1,0.003,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Panama,Americas,985814,22847.445,1580,36.618,0,8490,196.766,3,0.07,0
Uruguay,Americas,984152,28331.275,1306,37.596,0,7473,215.129,11,0.317,0
Mongolia,Western Pacific,982478,29969.222,557,16.991,61,2131,65.003,1,0.031,0
Puerto Rico,Americas,947672,33125.505,4768,166.664,0,5077,177.465,31,1.084,3
Latvia,Europe,918860,48166.485,8277,433.879,1265,5977,313.313,13,0.681,3
Azerbaijan,Europe,819847,8085.934,1584,15.623,259,9893,97.572,29,0.286,7
Saudi Arabia,Eastern Mediterranean,815431,2342.259,709,2.037,105,9333,26.808,13,0.037,1
Paraguay,Americas,716009,10038.629,203,2.846,0,19564,274.292,34,0.477,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,702768,13775.945,177,3.47,0,5707,111.871,1,0.02,0
Bahrain,Eastern Mediterranean,676846,39777.618,2225,130.761,395,1520,89.329,2,0.118,0
Sri Lanka,South-East Asia,670641,3131.897,122,0.57,0,16748,78.213,11,0.051,0
Kuwait,Eastern Mediterranean,657745,15401.805,0,0,0,2563,60.015,0,0,0
Dominican Republic,Americas,644356,5939.909,1531,14.113,0,4384,40.413,0,0,0
Myanmar,South-East Asia,620035,1139.565,2296,4.22,469,19451,35.749,7,0.013,1
Estonia,Europe,600796,45207.438,992,74.644,0,2667,200.681,6,0.451,0
Republic of Moldova,Europe,587023,14552.017,3840,95.192,0,11821,293.037,13,0.322,0
Cyprus,Europe,582381,65583.077,2482,279.503,0,1178,132.657,5,0.563,0
Venezuela (Bolivarian Republic of),Americas,544248,1913.944,416,1.463,38,5812,20.439,3,0.011,1
Egypt,Eastern Mediterranean,515361,503.605,13,0.013,0,24797,24.231,1,0.001,0
Libya,Eastern Mediterranean,506941,7377.666,52,0.757,9,6437,93.68,0,0,0
Ethiopia,Africa,493456,429.228,89,0.077,0,7572,6.586,0,0,0
